n,r,m
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Dama})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Vikrita})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Kardama})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Aswa})
(:Entity {name: Marttanda}),[:REL {type: Also Known As}],(:Entity {name: Sun})
(:Entity {name: Vamana}),[:REL {type: Type}],(:Entity {name: Dwarf Incarnation Of Vishnu})
(:Entity {name: Indra}),[:REL {type: Father Of}],(:Entity {name: Arjuna})
(:Entity {name: Indra}),[:REL {type: Gave Weapon To}],(:Entity {name: Arjuna})
(:Entity {name: Indra}),[:REL {type: father}],(:Entity {name: Arjuna})
(:Entity {name: Indra}),[:REL {type: ally}],(:Entity {name: Vishnu})
(:Entity {name: Indra}),[:REL {type: cheated}],(:Entity {name: Karna})
(:Entity {name: Indra}),[:REL {type: gave weapon to}],(:Entity {name: Karna})
(:Entity {name: Indra}),[:REL {type: took armor from}],(:Entity {name: Karna})
(:Entity {name: Indra}),[:REL {type: Works With}],(:Entity {name: Varuna})
(:Entity {name: Indra}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Indra}),[:REL {type: Prevented}],(:Entity {name: Agni’s Desire})
(:Entity {name: Indra}),[:REL {type: seduced}],(:Entity {name: Ahalya})
(:Entity {name: Indra}),[:REL {type: Assumed Form Of}],(:Entity {name: Gautama})
(:Entity {name: Indra}),[:REL {type: mount}],(:Entity {name: Airavata})
(:Entity {name: Indra}),[:REL {type: Vahana}],(:Entity {name: Elephant})
(:Entity {name: Indra}),[:REL {type: Saved}],(:Entity {name: Sunahsephas})
(:Entity {name: Indra}),[:REL {type: lost to}],(:Entity {name: Garuda})
(:Entity {name: Indra}),[:REL {type: capital}],(:Entity {name: Amaravati})
(:Entity {name: Indra}),[:REL {type: Advised}],(:Entity {name: Kama})
(:Entity {name: Indra}),[:REL {type: Supported}],(:Entity {name: Brihaspati})
(:Entity {name: Indra}),[:REL {type: Weapon}],(:Entity {name: Vajra})
(:Entity {name: Indra}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: Indra}),[:REL {type: Demolished Cities For}],(:Entity {name: Bivo-dasa 1})
(:Entity {name: Indra}),[:REL {type: Overpowered By}],(:Entity {name: Asuras})
(:Entity {name: Indra}),[:REL {type: husband}],(:Entity {name: Indrani})
(:Entity {name: Indra}),[:REL {type: enemy}],(:Entity {name: Vritra})
(:Entity {name: Indra}),[:REL {type: killed}],(:Entity {name: Vritra})
(:Entity {name: Indra}),[:REL {type: enemy}],(:Entity {name: Vala})
(:Entity {name: Indra}),[:REL {type: killed}],(:Entity {name: Vala})
(:Entity {name: Indra}),[:REL {type: attended by}],(:Entity {name: Maruts})
(:Entity {name: Indra}),[:REL {type: enemy}],(:Entity {name: Daityas})
(:Entity {name: Indra}),[:REL {type: worshipped by}],(:Entity {name: People of Vraja})
(:Entity {name: Indra}),[:REL {type: father}],(:Entity {name: Jayanta})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Mahendra})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Sakra})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Maghavan})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Vasava})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Ribhuksha})
(:Entity {name: Indra}),[:REL {type: also known as}],(:Entity {name: Datteya})
(:Entity {name: Indra}),[:REL {type: charioteer}],(:Entity {name: Matali})
(:Entity {name: Indra}),[:REL {type: heaven}],(:Entity {name: Swarga})
(:Entity {name: Indra}),[:REL {type: Took form of}],(:Entity {name: Falcon})
(:Entity {name: Indra}),[:REL {type: Father Of}],(:Entity {name: Jayanti})
(:Entity {name: Naraka}),[:REL {type: Stole Ear Rings Of}],(:Entity {name: Aditi})
(:Entity {name: Naraka}),[:REL {type: King Of}],(:Entity {name: Asura})
(:Entity {name: Devaki}),[:REL {type: Mother Of}],(:Entity {name: Krishna})
(:Entity {name: Devaki}),[:REL {type: Is New Birth of}],(:Entity {name: Aditi})
(:Entity {name: Varuna}),[:REL {type: Gave Weapon To}],(:Entity {name: Arjuna})
(:Entity {name: Varuna}),[:REL {type: Chief Among}],(:Entity {name: Adityas})
(:Entity {name: Varuna}),[:REL {type: Known As}],(:Entity {name: Aditya})
(:Entity {name: Varuna}),[:REL {type: Father Of}],(:Entity {name: Agasti})
(:Entity {name: Varuna}),[:REL {type: Teacher Of}],(:Entity {name: Vasishtha})
(:Entity {name: Varuna}),[:REL {type: Defeated By}],(:Entity {name: Utathya})
(:Entity {name: Varuna}),[:REL {type: Son Of}],(:Entity {name: Kardama})
(:Entity {name: Varuna}),[:REL {type: Provided Horses To}],(:Entity {name: Richika})
(:Entity {name: Varuna}),[:REL {type: Vahana}],(:Entity {name: Fish})
(:Entity {name: Varuna}),[:REL {type: Carried Off}],(:Entity {name: Bhadra})
(:Entity {name: Varuna}),[:REL {type: Father Of}],(:Entity {name: Pushkara})
(:Entity {name: Varuna}),[:REL {type: Husband Of}],(:Entity {name: Varunani})
(:Entity {name: Varuna}),[:REL {type: Sovereign Of}],(:Entity {name: Waters})
(:Entity {name: Adityas}),[:REL {type: Sons Of}],(:Entity {name: Aditi})
(:Entity {name: Adityas}),[:REL {type: Descended From}],(:Entity {name: Prajapati})
(:Entity {name: Aditya}),[:REL {type: Is Name Of}],(:Entity {name: Sun})
(:Entity {name: Mitra}),[:REL {type: Works With}],(:Entity {name: Varuna})
(:Entity {name: Mitra}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Aryaman}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Bhaga}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Bhaga}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: Ansa}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Savitri}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Dhatri}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Aditya Purana}),[:REL {type: Is One of the Eighteen}],(:Entity {name: Upapuranas})
(:Entity {name: Agastya}),[:REL {type: Son Of}],(:Entity {name: Varuna})
(:Entity {name: Agastya}),[:REL {type: Offspring Of}],(:Entity {name: Varuna})
(:Entity {name: Agastya}),[:REL {type: Offspring Of}],(:Entity {name: Mitra})
(:Entity {name: Agastya}),[:REL {type: Son Of}],(:Entity {name: Mitra})
(:Entity {name: Agastya}),[:REL {type: Also Known As}],(:Entity {name: Agasti})
(:Entity {name: Agastya}),[:REL {type: Reputed Author Of Hymns in}],(:Entity {name: Rig-veda})
(:Entity {name: Agastya}),[:REL {type: Called}],(:Entity {name: Kalasi-suta})
(:Entity {name: Agastya}),[:REL {type: Called}],(:Entity {name: Kumbha-sambhava})
(:Entity {name: Agastya}),[:REL {type: Called}],(:Entity {name: Ghafodbhava})
(:Entity {name: Agastya}),[:REL {type: Also Known As}],(:Entity {name: Maitra-varuni})
(:Entity {name: Agastya}),[:REL {type: Also Known As}],(:Entity {name: Aurvasiya})
(:Entity {name: Agastya}),[:REL {type: Called}],(:Entity {name: Mana})
(:Entity {name: Agastya}),[:REL {type: Not One Of}],(:Entity {name: Prajapatis})
(:Entity {name: Agastya}),[:REL {type: Epithet}],(:Entity {name: Vindhya-kūpa})
(:Entity {name: Agastya}),[:REL {type: Also Known As}],(:Entity {name: Pitabdhi})
(:Entity {name: Agastya}),[:REL {type: Also Known As}],(:Entity {name: Samudra-chuluka})
(:Entity {name: Agastya}),[:REL {type: Made Regent Of}],(:Entity {name: Star Canopus})
(:Entity {name: Agastya}),[:REL {type: Son Of}],(:Entity {name: Pulastya})
(:Entity {name: Agastya}),[:REL {type: Narrator Of}],(:Entity {name: Brahma Purana})
(:Entity {name: Agastya}),[:REL {type: Writer On}],(:Entity {name: Medicine})
(:Entity {name: Agastya}),[:REL {type: Husband Of}],(:Entity {name: Lopamudra})
(:Entity {name: Agastya}),[:REL {type: Turned Into Serpent}],(:Entity {name: King Nahusha})
(:Entity {name: Agastya}),[:REL {type: Restored The Form Of}],(:Entity {name: King Nahusha})
(:Entity {name: Agastya}),[:REL {type: Chief Of}],(:Entity {name: Hermits of the South})
(:Entity {name: Agastya}),[:REL {type: Controlled}],(:Entity {name: Rakshasas of the South})
(:Entity {name: Agastya}),[:REL {type: Ate}],(:Entity {name: Rakshasa Vatapi})
(:Entity {name: Agastya}),[:REL {type: Destroyed}],(:Entity {name: Rakshasa Ilvala})
(:Entity {name: Agastya}),[:REL {type: Gave Bow of Vishnu to}],(:Entity {name: Rama})
(:Entity {name: Agastya}),[:REL {type: Born In}],(:Entity {name: Jar})
(:Entity {name: Rig-veda}),[:REL {type: Many Hymns Of It Attributed To}],(:Entity {name: Angiras})
(:Entity {name: Vasishtha}),[:REL {type: Offspring Of}],(:Entity {name: Varuna})
(:Entity {name: Vasishtha}),[:REL {type: Son Of}],(:Entity {name: Varuna})
(:Entity {name: Vasishtha}),[:REL {type: Offspring Of}],(:Entity {name: Mitra})
(:Entity {name: Vasishtha}),[:REL {type: Son Of}],(:Entity {name: Mitra})
(:Entity {name: Vasishtha}),[:REL {type: Husband Of}],(:Entity {name: Arundhati})
(:Entity {name: Vasishtha}),[:REL {type: Family Priest Of}],(:Entity {name: Kalmasha-pada})
(:Entity {name: Vasishtha}),[:REL {type: Rival Of}],(:Entity {name: Viswamitra})
(:Entity {name: Vasishtha}),[:REL {type: Cursed}],(:Entity {name: Viswamitra})
(:Entity {name: Vasishtha}),[:REL {type: Reconciled With}],(:Entity {name: Viswamitra})
(:Entity {name: Vasishtha}),[:REL {type: Born From Soul Of}],(:Entity {name: Urvasi})
(:Entity {name: Vasishtha}),[:REL {type: Father Of}],(:Entity {name: Saktri})
(:Entity {name: Vasishtha}),[:REL {type: Belonged To}],(:Entity {name: Tritsus})
(:Entity {name: Vasishtha}),[:REL {type: Possessor Of}],(:Entity {name: Nandini})
(:Entity {name: Vasishtha}),[:REL {type: Family Priest Of}],(:Entity {name: King Sudas})
(:Entity {name: Vasishtha}),[:REL {type: Husband Of}],(:Entity {name: Urja})
(:Entity {name: Vasishtha}),[:REL {type: Family Priest Of}],(:Entity {name: House Of Ikshwaku})
(:Entity {name: Vasishtha}),[:REL {type: Ancestor Of}],(:Entity {name: Vasishthas})
(:Entity {name: Vasishtha}),[:REL {type: Ancestor Of}],(:Entity {name: Vashkalas})
(:Entity {name: Pulastya}),[:REL {type: Ancestor Of}],(:Entity {name: Rakshasas})
(:Entity {name: Pulastya}),[:REL {type: grandfather of}],(:Entity {name: Ravana})
(:Entity {name: Lopamudra}),[:REL {type: Also Known As}],(:Entity {name: Kausitaki})
(:Entity {name: Lopamudra}),[:REL {type: Also Known As}],(:Entity {name: Varaprada})
(:Entity {name: Rama}),[:REL {type: brother}],(:Entity {name: Lakshmana})
(:Entity {name: Rama}),[:REL {type: incarnation of}],(:Entity {name: Vishnu})
(:Entity {name: Rama}),[:REL {type: Visited}],(:Entity {name: Hermitage of Agastya})
(:Entity {name: Rama}),[:REL {type: son of}],(:Entity {name: Dasaratha})
(:Entity {name: Rama}),[:REL {type: killed}],(:Entity {name: Ravana})
(:Entity {name: Rama}),[:REL {type: enemy of}],(:Entity {name: Ravana})
(:Entity {name: Rama}),[:REL {type: kingdom}],(:Entity {name: Ayodhya})
(:Entity {name: Rama}),[:REL {type: wife}],(:Entity {name: Sita})
(:Entity {name: Rama}),[:REL {type: husband of}],(:Entity {name: Sita})
(:Entity {name: Rama}),[:REL {type: Ally Of}],(:Entity {name: Sugriva})
(:Entity {name: Rama}),[:REL {type: Friend Of}],(:Entity {name: Sugriva})
(:Entity {name: Rama}),[:REL {type: ally}],(:Entity {name: Sugriva})
(:Entity {name: Rama}),[:REL {type: exiled by}],(:Entity {name: Kaikeyi})
(:Entity {name: Rama}),[:REL {type: brother}],(:Entity {name: Bharata})
(:Entity {name: Rama}),[:REL {type: brother}],(:Entity {name: Satrughna})
(:Entity {name: Rama}),[:REL {type: also known as}],(:Entity {name: Ramachandra})
(:Entity {name: Rama}),[:REL {type: father of}],(:Entity {name: Lava})
(:Entity {name: Rama}),[:REL {type: Belongs To}],(:Entity {name: Surya Vansa})
(:Entity {name: Rama}),[:REL {type: Agent Of}],(:Entity {name: Ravana's Death})
(:Entity {name: Aghasura}),[:REL {type: Is}],(:Entity {name: Asura})
(:Entity {name: Aghasura}),[:REL {type: General Of}],(:Entity {name: Kansa})
(:Entity {name: Aghasura}),[:REL {type: Assumed Form}],(:Entity {name: Vast Serpent})
(:Entity {name: Kansa}),[:REL {type: enemy}],(:Entity {name: Krishna})
(:Entity {name: Kansa}),[:REL {type: Son Of}],(:Entity {name: Ugrasena})
(:Entity {name: Kansa}),[:REL {type: Deposed}],(:Entity {name: Ugrasena})
(:Entity {name: Agnayil}),[:REL {type: Wife Of}],(:Entity {name: Agni})
(:Entity {name: Agneya}),[:REL {type: Son Of}],(:Entity {name: Agni})
(:Entity {name: Agneya}),[:REL {type: Appellation Of}],(:Entity {name: Agastya})
(:Entity {name: Agneya}),[:REL {type: Is Name Of}],(:Entity {name: Karttikeya})
(:Entity {name: Agneya}),[:REL {type: Is Name Of}],(:Entity {name: Mars})
(:Entity {name: Agneyastra}),[:REL {type: Means}],(:Entity {name: Weapon of Fire})
(:Entity {name: Agneyastra}),[:REL {type: Given By}],(:Entity {name: Bharadwaja})
(:Entity {name: Agneyastra}),[:REL {type: Given By}],(:Entity {name: Agnivesa})
(:Entity {name: Agneyastra}),[:REL {type: Given To}],(:Entity {name: Agnivesa})
(:Entity {name: Agneyastra}),[:REL {type: Given To}],(:Entity {name: Drona})
(:Entity {name: Agneyastra}),[:REL {type: Given By}],(:Entity {name: Aurva})
(:Entity {name: Agneyastra}),[:REL {type: Gave To}],(:Entity {name: King Sagara})
(:Entity {name: Bharadwaja}),[:REL {type: Performed Sacrifice For}],(:Entity {name: Bivo-dasa 3})
(:Entity {name: Agnivesa}),[:REL {type: Son Of}],(:Entity {name: Agni})
(:Entity {name: Agnivesa}),[:REL {type: Early Writer On}],(:Entity {name: Medicine})
(:Entity {name: Agnivesa}),[:REL {type: Is}],(:Entity {name: Sage})
(:Entity {name: Drona}),[:REL {type: Son Of}],(:Entity {name: Bharadwaja})
(:Entity {name: Drona}),[:REL {type: Killed}],(:Entity {name: Drupada})
(:Entity {name: Drona}),[:REL {type: Ordered Capture Of}],(:Entity {name: Drupada})
(:Entity {name: Drona}),[:REL {type: Spared}],(:Entity {name: Drupada})
(:Entity {name: Drona}),[:REL {type: Restored Kingdom To}],(:Entity {name: Drupada})
(:Entity {name: Drona}),[:REL {type: Enemy Of}],(:Entity {name: Drupada})
(:Entity {name: Drona}),[:REL {type: Teacher Of}],(:Entity {name: Pandavas})
(:Entity {name: Drona}),[:REL {type: Teacher Of}],(:Entity {name: Kauravas})
(:Entity {name: Drona}),[:REL {type: Killed}],(:Entity {name: Father of Dhrishta-dyumna})
(:Entity {name: Drona}),[:REL {type: Father Of}],(:Entity {name: Aswatthaman})
(:Entity {name: Drona}),[:REL {type: Husband Of}],(:Entity {name: Kripa})
(:Entity {name: Drona}),[:REL {type: Also Known As}],(:Entity {name: Dronacharya})
(:Entity {name: Drona}),[:REL {type: Also Known As}],(:Entity {name: Kuta-ja})
(:Entity {name: Vedas}),[:REL {type: Are}],(:Entity {name: Holy Books})
(:Entity {name: Vedas}),[:REL {type: Foundation Of}],(:Entity {name: Hindu Religion})
(:Entity {name: Vedas}),[:REL {type: Written In}],(:Entity {name: Old Sanskrit})
(:Entity {name: Vedas}),[:REL {type: Composed Between}],(:Entity {name: 1500 and 1000 BC})
(:Entity {name: Vedas}),[:REL {type: Revealed To}],(:Entity {name: Rishis})
(:Entity {name: Vedas}),[:REL {type: Known As}],(:Entity {name: Sruti})
(:Entity {name: Vedas}),[:REL {type: Number Of}],(:Entity {name: Four})
(:Entity {name: Vayu}),[:REL {type: Is One Of}],(:Entity {name: Three Great Deities})
(:Entity {name: Vayu}),[:REL {type: Presides Over}],(:Entity {name: Air})
(:Entity {name: Vayu}),[:REL {type: Father Of}],(:Entity {name: Hanumat})
(:Entity {name: Vayu}),[:REL {type: Father Of}],(:Entity {name: Bhima})
(:Entity {name: Vayu}),[:REL {type: Son-in-law Of}],(:Entity {name: Twashiri})
(:Entity {name: Vayu}),[:REL {type: Vahana}],(:Entity {name: Antelope})
(:Entity {name: Vayu}),[:REL {type: God Of}],(:Entity {name: Wind})
(:Entity {name: Surya}),[:REL {type: Son of}],(:Entity {name: Brahma})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Karna})
(:Entity {name: Surya}),[:REL {type: Son of}],(:Entity {name: Aditi})
(:Entity {name: Surya}),[:REL {type: Son of}],(:Entity {name: Kasyapa})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Aditya})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Savitri})
(:Entity {name: Surya}),[:REL {type: Is One Of}],(:Entity {name: Three Great Deities})
(:Entity {name: Surya}),[:REL {type: Presides Over}],(:Entity {name: Sky})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Yama})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Sugriva})
(:Entity {name: Surya}),[:REL {type: Husband of}],(:Entity {name: Sanjna})
(:Entity {name: Surya}),[:REL {type: Son-in-law of}],(:Entity {name: Viswakarma})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Vivaswat})
(:Entity {name: Surya}),[:REL {type: Charioteer}],(:Entity {name: Aruna})
(:Entity {name: Surya}),[:REL {type: Bestowed gem on}],(:Entity {name: Satrajit})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Vaivaswata Manu})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Yami})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Aswins})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Revanta})
(:Entity {name: Surya}),[:REL {type: Father of}],(:Entity {name: Sani})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Bhaskara})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Graharaja})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Savita})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Divakara})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Sivakara})
(:Entity {name: Surya}),[:REL {type: Also Known As}],(:Entity {name: Mihira})
(:Entity {name: Earth}),[:REL {type: mother of}],(:Entity {name: Sita})
(:Entity {name: Seven Winds}),[:REL {type: Are Wheels of Car of}],(:Entity {name: Agni})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Pavaka})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Suchi})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Vahni})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Anala})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Vaiswanara})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Abja-hasta})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Dhima-ketu})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Hutasa})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Rohitaswa})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Chhaga-ratha})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Jata vedas})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Saptajihva})
(:Entity {name: Names of Agni}),[:REL {type: Include}],(:Entity {name: Tomaradhara})
(:Entity {name: Vahni}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: Vaiswanara}),[:REL {type: Son Of}],(:Entity {name: Viswanara})
